name,country,subcountry,geonameid
Villa Gesell,Argentina,Buenos Aires,3427431
Nahrīn,Afghanistan,Wilāyat-e Baghlān,1132495
Caluquembe,Angola,Huíla,3351024
Gavarr,Armenia,Gegharkunik Province,616599
Qarāwul,Afghanistan,Kunduz,1129648
Joaquín V. González,Argentina,Salta,3853491
Cosquín,Argentina,Cordoba,3859965
Laç,Albania,Lezhë,3185012
Vienna,Austria,Vienna,2761369
Camacupa,Angola,Bié,3351014
Andkhōy,Afghanistan,Faryab,1148658
Embalse,Argentina,Cordoba,3856235
San Nicolás de los Arroyos,Argentina,Buenos Aires,3836846
Sar-e Pul,Afghanistan,Sar-e Pol,1127110
Caleta Olivia,Argentina,Santa Cruz,3863379
Glenmore Park,Australia,New South Wales,7302642
Khanabad,Afghanistan,Kunduz,1137168
Morón,Argentina,Buenos Aires,3430545
Palpalá,Argentina,Jujuy,3842190
Wagga Wagga,Australia,New South Wales,2145110
Shahrak,Afghanistan,Ghowr,1125896
Zaranj,Afghanistan,Nīmrūz,1120985
Paltan,Bangladesh,Dhaka,9827976
Castelli,Argentina,Chaco,3862320
Fontana,Argentina,Chaco,3433901
Ar Ruways,United Arab Emirates,Abu Dhabi,292688
Wiener Neustadt,Austria,Lower Austria,2761353
San Ramón de la Nueva Orán,Argentina,Salta,3836620
Santa Fe de la Vera Cruz,Argentina,Santa Fe,3836277
Viedma,Argentina,Rio Negro,3832899
Liverpool,Australia,New South Wales,2159851
Cabinda,Angola,Cabinda,2243271
